Year,"Country / territory of asylum/residence",Origin,"Refugees","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons"
2008,Australia,Indonesia,188,,,,
2008,Australia,India,123,,,,
2008,Australia,"Iran (Islamic Rep. of)",1151,,,,
2008,Australia,Iraq,5945,,,,
2008,Australia,Israel,29,,,,
2008,Australia,Italy,2,,,,
2008,Australia,Jamaica,,,,,
2008,Australia,Jordan,49,,,,
2008,Australia,Japan,,,,,
2008,Australia,Kazakhstan,11,,,,
2008,Australia,Kenya,23,,,,
2008,Australia,Kyrgyzstan,22,,,,
2008,Australia,Cambodia,15,,,,
2008,Australia,"Rep. of Korea",13,,,,
2008,Australia,Kuwait,41,,,,
2008,Australia,"Lao People's Dem. Rep.",4,,,,
2008,Australia,Lebanon,170,,,,
2008,Australia,Liberia,10,,,,
2008,Australia,Libya,3,,,,
2008,Australia,"Sri Lanka",1843,,,,
2008,Australia,Latvia,6,,,,
2008,Australia,Morocco,14,,,,
2008,Australia,"Rep. of Moldova",1,,,,
2008,Australia,Maldives,1,,,,
2008,Australia,Mexico,5,,,,
2008,Australia,"The former Yugoslav Republic of Macedonia",10,,,,
2008,Australia,Mali,3,,,,
2008,Australia,Malta,1,,,,
2008,Australia,Myanmar,455,,,,
2008,Australia,Mongolia,35,,,,
2008,Australia,Mozambique,1,,,,
2008,Australia,Mauritania,5,,,,
2008,Australia,Malaysia,32,,,,
2008,Australia,Niger,2,,,,
2008,Australia,Nigeria,67,,,,
2008,Australia,Norway,,,,,
2008,Australia,Nepal,114,,,,
2008,Australia,"New Zealand",,,,,
2008,Australia,Pakistan,438,,,,
2008,Australia,Peru,14,,,,
2008,Australia,Philippines,10,,,,
2008,Australia,"Papua New Guinea",44,,,,
2008,Australia,"Dem. People's Rep. of Korea",14,,,,
2008,Australia,Palestinian,167,,,,
2008,Australia,Romania,13,,,,
2008,Australia,"Russian Federation",199,,,,
2008,Australia,Rwanda,11,,,,
2008,Australia,"Saudi Arabia",16,,,,
2008,Australia,Sudan,53,,,,
2008,Australia,Senegal,4,,,,
2008,Australia,Singapore,6,,,,
2008,Australia,"Solomon Islands",32,,,,
2008,Australia,"Sierra Leone",30,,,,
2008,Australia,"El Salvador",6,,,,
2008,Australia,Somalia,86,,,,
2008,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",241,,,,
2008,Australia,"Syrian Arab Rep.",74,,,,
2008,Australia,Chad,1,,,,
2008,Australia,Togo,1,,,,
2008,Australia,Thailand,15,,,,
2008,Australia,Tibetan,4,,,,
2008,Australia,Tajikistan,1,,,,
2008,Australia,Timor-Leste,7,,,,
2008,Australia,Tonga,3,,,,
2008,Australia,Tunisia,17,,,,
2008,Australia,Turkey,372,,,,
2008,Australia,"United Rep. of Tanzania",7,,,,
2008,Australia,Uganda,27,,,,
2008,Australia,Ukraine,55,,,,
2008,Australia,"United States of America",8,,,,
2008,Australia,Uzbekistan,22,,,,
2008,Australia,"Viet Nam",50,,,,
2008,Australia,Stateless,121,,,,
2008,Australia,Various/Unknown,304,,,,
2008,Australia,Yemen,8,,,,
2008,Australia,"South Africa",15,,,,
2008,Australia,Zambia,5,,,,
2008,Australia,Zimbabwe,294,,,,
2009,Australia,Afghanistan,5664,1,,,
2009,Australia,Angola,5,,,,
2009,Australia,Albania,49,,,,
2009,Australia,"United Arab Emirates",4,,,,
2009,Australia,Argentina,1,,,,
2009,Australia,Armenia,7,,,,
2009,Australia,Australia,2,,,,
2009,Australia,Azerbaijan,4,,,,
2009,Australia,Burundi,30,,,,
2009,Australia,Benin,1,,,,
2009,Australia,Bangladesh,235,,,,
2009,Australia,Bulgaria,5,,,,
2009,Australia,Bahrain,22,,,,
2009,Australia,"Bosnia and Herzegovina",10,5,,,
2009,Australia,Belarus,15,,,,
2009,Australia,Brazil,9,,,,
2009,Australia,Bhutan,3,,,,
2009,Australia,Canada,3,,,,
2009,Australia,Chile,2,,,,
2009,Australia,China,1862,,,,
2009,Australia,"Côte d'Ivoire",7,,,,
2009,Australia,Cameroon,46,,,,
2009,Australia,"Dem. Rep. of the Congo",25,,,,
2009,Australia,Congo,22,,,,
2009,Australia,Colombia,191,,,,
2009,Australia,Cuba,6,,,,
2009,Australia,"Czech Rep.",1,,,,
2009,Australia,Denmark,2,,,,
2009,Australia,Algeria,32,,,,
2009,Australia,Ecuador,4,,,,
2009,Australia,Egypt,293,,,,
2009,Australia,Eritrea,58,,,,
2009,Australia,Ethiopia,169,,,,
2009,Australia,Fiji,81,,,,
2009,Australia,France,4,,,,
2009,Australia,"United Kingdom",2,,,,
2009,Australia,Georgia,10,,,,
2009,Australia,Ghana,23,,,,
2009,Australia,Guinea,10,,,,
2009,Australia,Gambia,3,,,,
2009,Australia,Guinea-Bissau,1,,,,
2009,Australia,Greece,4,,,,
2009,Australia,Guyana,1,,,,
2009,Australia,"China, Hong Kong SAR",,,,,
2009,Australia,Croatia,4,,,,
2009,Australia,Hungary,,,,,
2009,Australia,Indonesia,221,,,,
2009,Australia,India,120,,,,
2009,Australia,"Iran (Islamic Rep. of)",1249,,,,
2009,Australia,Iraq,5663,,,,
2009,Australia,Israel,31,,,,
2009,Australia,Italy,2,,,,
2009,Australia,Jordan,68,,,,
2009,Australia,Kazakhstan,6,,,,
2009,Australia,Kenya,33,,,,
2009,Australia,Kyrgyzstan,22,,,,
2009,Australia,Cambodia,16,,,,
2009,Australia,"Rep. of Korea",17,,,,
2009,Australia,Kuwait,26,,,,
2009,Australia,"Lao People's Dem. Rep.",4,,,,
2009,Australia,Lebanon,183,,,,
2009,Australia,Liberia,14,,,,
2009,Australia,Libya,10,,,,
2009,Australia,"Sri Lanka",2070,,,,
2009,Australia,Latvia,6,,,,
2009,Australia,Morocco,14,,,,
2009,Australia,Mexico,1,,,,
2009,Australia,"The former Yugoslav Republic of Macedonia",10,,,,
2009,Australia,Mali,3,,,,
2009,Australia,Malta,1,,,,
2009,Australia,Myanmar,489,,,,
2009,Australia,Mongolia,42,,,,
2009,Australia,Mozambique,1,,,,
2009,Australia,Mauritania,4,,,,
2009,Australia,Mauritius,,,,,
2009,Australia,Malaysia,38,,,,
2009,Australia,Niger,1,,,,
2009,Australia,Nigeria,88,,,,
2009,Australia,Nepal,130,,,,
2009,Australia,"New Zealand",,,,,
2009,Australia,Pakistan,589,,,,
2009,Australia,Peru,8,,,,
2009,Australia,Philippines,11,,,,
2009,Australia,"Papua New Guinea",68,,,,
2009,Australia,Poland,,,,,
2009,Australia,"Dem. People's Rep. of Korea",15,,,,
2009,Australia,Portugal,,,,,
2009,Australia,Palestinian,167,,,,
2009,Australia,Romania,17,,,,
2009,Australia,"Russian Federation",171,,,,
2009,Australia,Rwanda,15,,,,
2009,Australia,"Saudi Arabia",16,,,,
2009,Australia,Sudan,56,,,,
2009,Australia,Senegal,4,,,,
2009,Australia,Singapore,5,,,,
2009,Australia,"Solomon Islands",32,,,,
2009,Australia,"Sierra Leone",32,,,,
2009,Australia,"El Salvador",6,,,,
2009,Australia,Somalia,84,,,,
2009,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",191,,,,
2009,Australia,Sweden,1,,,,
2009,Australia,"Syrian Arab Rep.",80,,,,
2009,Australia,Chad,2,,,,
2009,Australia,Togo,4,,,,
2009,Australia,Thailand,13,,,,
2009,Australia,Tibetan,7,,,,
2009,Australia,Tajikistan,1,,,,
2009,Australia,Turkmenistan,2,,,,
2009,Australia,Timor-Leste,7,,,,
2009,Australia,Tonga,3,,,,
2009,Australia,Tunisia,17,,,,
2009,Australia,Turkey,246,,,,
2009,Australia,"United Rep. of Tanzania",7,,,,
2009,Australia,Uganda,31,,,,
2009,Australia,Ukraine,52,,,,
2009,Australia,"United States of America",8,,,,
2009,Australia,Uzbekistan,24,,,,
2009,Australia,"Venezuela (Bolivarian Republic of)",7,,,,
2009,Australia,"Viet Nam",52,,,,
2009,Australia,Vanuatu,,,,,
2009,Australia,Samoa,,,,,
2009,Australia,Stateless,149,,,,
2009,Australia,Various/Unknown,237,,,,
2009,Australia,Yemen,6,,,,
2009,Australia,"South Africa",21,,,,
2009,Australia,Zambia,5,,,,
2009,Australia,Zimbabwe,564,,,,
2010,Australia,Afghanistan,5518,,,,
2010,Australia,Angola,3,,,,
2010,Australia,Albania,46,,,,
2010,Australia,"United Arab Emirates",2,,,,
2010,Australia,Argentina,1,,,,
2010,Australia,Armenia,7,,,,
2010,Australia,Azerbaijan,3,,,,
2010,Australia,Burundi,31,,,,
2010,Australia,Benin,1,,,,
2010,Australia,Bangladesh,252,,,,
2010,Australia,Bulgaria,3,,,,
2010,Australia,Bahrain,22,,,,
2010,Australia,"Bosnia and Herzegovina",6,15,,,
2010,Australia,Belarus,16,,,,
2010,Australia,Brazil,8,,,,
2010,Australia,"Brunei Darussalam",,,,,
2010,Australia,Bhutan,2,,,,
2010,Australia,"Central African Rep.",1,,,,
2010,Australia,Canada,1,,,,
2010,Australia,Switzerland,1,,,,
2010,Australia,Chile,1,,,,
2010,Australia,China,2201,,,,
2010,Australia,"Côte d'Ivoire",7,,,,
2010,Australia,Cameroon,51,,,,
2010,Australia,"Dem. Rep. of the Congo",27,,,,
2010,Australia,Congo,19,,,,
2010,Australia,"Cook Islands",,,,,
2010,Australia,Colombia,148,,,,
2010,Australia,Cuba,6,,,,
2010,Australia,"Czech Rep.",1,,,,
2010,Australia,Germany,1,,,,
2010,Australia,Djibouti,1,,,,
2010,Australia,Denmark,2,,,,
2010,Australia,"Dominican Rep.",,,,,
2010,Australia,Algeria,20,,,,
2010,Australia,Ecuador,4,,,,
2010,Australia,Egypt,350,,,,
2010,Australia,Eritrea,67,,,,
2010,Australia,Ethiopia,168,,,,
2010,Australia,Fiji,144,,,,
2010,Australia,France,4,,,,
2010,Australia,"United Kingdom",2,,,,
2010,Australia,Georgia,9,,,,
2010,Australia,Ghana,28,,,,
2010,Australia,Guinea,10,,,,
2010,Australia,Gambia,3,,,,
2010,Australia,Guinea-Bissau,1,,,,
2010,Australia,Greece,4,,,,
2010,Australia,Guyana,1,,,,
2010,Australia,Croatia,4,,,,
2010,Australia,Indonesia,231,,,,
2010,Australia,India,139,,,,
2010,Australia,Ireland,,,,,
2010,Australia,"Iran (Islamic Rep. of)",1327,,,,
2010,Australia,Iraq,3791,,,,
2010,Australia,Israel,31,,,,
2010,Australia,Italy,2,,,,
2010,Australia,Jamaica,,,,,
2010,Australia,Jordan,69,,,,
2010,Australia,Japan,1,,,,
2010,Australia,Kazakhstan,4,,,,
2010,Australia,Kenya,38,,,,
2010,Australia,Kyrgyzstan,21,,,,
2010,Australia,Cambodia,16,,,,
2010,Australia,"Rep. of Korea",24,,,,
2010,Australia,Kuwait,22,,,,
2010,Australia,"Lao People's Dem. Rep.",4,,,,
2010,Australia,Lebanon,209,,,,
2010,Australia,Liberia,18,,,,
2010,Australia,Libya,9,,,,
2010,Australia,"Sri Lanka",2373,,,,
2010,Australia,Lithuania,,,,,
2010,Australia,Latvia,6,,,,
2010,Australia,Morocco,13,,,,
2010,Australia,"The former Yugoslav Republic of Macedonia",,,,,
2010,Australia,Mali,3,,,,
2010,Australia,Malta,1,,,,
2010,Australia,Myanmar,444,,,,
2010,Australia,Mongolia,43,,,,
2010,Australia,Mozambique,1,,,,
2010,Australia,Mauritania,4,,,,
2010,Australia,Mauritius,,,,,
2010,Australia,Malawi,1,,,,
2010,Australia,Malaysia,43,,,,
2010,Australia,Niger,1,,,,
2010,Australia,Nigeria,101,,,,
2010,Australia,Netherlands,,,,,
2010,Australia,Nepal,154,,,,
2010,Australia,"New Zealand",1,,,,
2010,Australia,Pakistan,747,,,,
2010,Australia,Peru,6,,,,
2010,Australia,Philippines,14,,,,
2010,Australia,"Papua New Guinea",87,,,,
2010,Australia,Poland,1,,,,
2010,Australia,"Dem. People's Rep. of Korea",25,,,,
2010,Australia,Palestinian,172,,,,
2010,Australia,Romania,18,,,,
2010,Australia,"Russian Federation",118,,,,
2010,Australia,Rwanda,23,,,,
2010,Australia,"Saudi Arabia",22,,,,
2010,Australia,Sudan,57,,,,
2010,Australia,Senegal,4,,,,
2010,Australia,Singapore,5,,,,
2010,Australia,"Solomon Islands",32,,,,
2010,Australia,"Sierra Leone",33,,,,
2010,Australia,"El Salvador",5,,,,
2010,Australia,Somalia,74,,,,
2010,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",93,,,,
2010,Australia,Sweden,1,,,,
2010,Australia,"Syrian Arab Rep.",68,,,,
2010,Australia,Chad,2,,,,
2010,Australia,Togo,4,,,,
2010,Australia,Thailand,13,,,,
2010,Australia,Tibetan,7,,,,
2010,Australia,Tajikistan,1,,,,
2010,Australia,Turkmenistan,2,,,,
2010,Australia,Timor-Leste,8,,,,
2010,Australia,Tonga,3,,,,
2010,Australia,Tunisia,15,,,,
2010,Australia,Turkey,224,,,,
2010,Australia,"United Rep. of Tanzania",11,,,,
2010,Australia,Uganda,33,,,,
2010,Australia,Ukraine,42,,,,
2010,Australia,"United States of America",8,,,,
2010,Australia,Uzbekistan,29,,,,
2010,Australia,"Venezuela (Bolivarian Republic of)",7,,,,
2010,Australia,"Viet Nam",52,,,,
2010,Australia,Vanuatu,1,,,,
2010,Australia,Samoa,1,,,,
2010,Australia,Stateless,347,,,,
2010,Australia,Various/Unknown,226,,,,
2010,Australia,Yemen,6,,,,
2010,Australia,"South Africa",25,,,,
2010,Australia,Zambia,5,,,,
2010,Australia,Zimbabwe,775,,,,
2011,Australia,Afghanistan,4826,,,,
2011,Australia,Angola,3,,,,
2011,Australia,Albania,51,,,,
2011,Australia,"United Arab Emirates",4,,,,
2011,Australia,Argentina,1,,,,
2011,Australia,Armenia,7,,,,
2011,Australia,Austria,,,,,
2011,Australia,Azerbaijan,3,,,,
2011,Australia,Burundi,27,,,,
2011,Australia,Benin,1,,,,
2011,Australia,Bangladesh,286,,,,
2011,Australia,Bulgaria,1,,,,
2011,Australia,Bahrain,62,,,,
2011,Australia,"Bosnia and Herzegovina",1,5,,,
2011,Australia,Belarus,8,,,,
2011,Australia,Brazil,7,,,,
2011,Australia,Bhutan,2,,,,
2011,Australia,Canada,,,,,
2011,Australia,Chile,1,,,,
2011,Australia,China,2494,,,,
2011,Australia,"Côte d'Ivoire",6,,,,
2011,Australia,Cameroon,52,,,,
2011,Australia,"Dem. Rep. of the Congo",25,,,,
2011,Australia,Congo,19,,,,
2011,Australia,Colombia,133,,,,
2011,Australia,Cuba,6,,,,
2011,Australia,"Czech Rep.",2,,,,
2011,Australia,Germany,,,,,
2011,Australia,Djibouti,,,,,
2011,Australia,Denmark,2,,,,
2011,Australia,Algeria,14,,,,
2011,Australia,Ecuador,5,,,,
2011,Australia,Egypt,573,,,,
2011,Australia,Eritrea,94,,,,
2011,Australia,Spain,,,,,
2011,Australia,Estonia,,,,,
2011,Australia,Ethiopia,178,,,,
2011,Australia,Fiji,213,,,,
2011,Australia,France,4,,,,
2011,Australia,"United Kingdom",2,,,,
2011,Australia,Georgia,6,,,,
2011,Australia,Ghana,28,,,,
2011,Australia,Guinea,9,,,,
2011,Australia,Gambia,3,,,,
2011,Australia,Greece,3,,,,
2011,Australia,Guyana,1,,,,
2011,Australia,"China, Hong Kong SAR",,,,,
2011,Australia,Croatia,4,,,,
2011,Australia,Indonesia,232,,,,
2011,Australia,India,162,,,,
2011,Australia,"Iran (Islamic Rep. of)",2286,,,,
2011,Australia,Iraq,3085,680,,,
2011,Australia,Israel,31,,,,
2011,Australia,Italy,2,,,,
2011,Australia,Jamaica,,,,,
2011,Australia,Jordan,66,,,,
2011,Australia,Japan,3,,,,
2011,Australia,Kazakhstan,8,,,,
2011,Australia,Kenya,43,,,,
2011,Australia,Kyrgyzstan,22,,,,
2011,Australia,Cambodia,22,,,,
2011,Australia,"Rep. of Korea",32,,,,
2011,Australia,Kuwait,34,,,,
2011,Australia,"Lao People's Dem. Rep.",4,,,,
2011,Australia,Lebanon,271,,,,
2011,Australia,Liberia,18,,,,
2011,Australia,Libya,28,,,,
2011,Australia,"Sri Lanka",2572,,,,
2011,Australia,Lithuania,,,,,
2011,Australia,Latvia,6,,,,
2011,Australia,"China, Macao SAR",,,,,
2011,Australia,Morocco,13,,,,
2011,Australia,Maldives,3,,,,
2011,Australia,Mexico,,,,,
2011,Australia,"The former Yugoslav Republic of Macedonia",,,,,
2011,Australia,Mali,2,,,,
2011,Australia,Malta,1,,,,
2011,Australia,Myanmar,514,,,,
2011,Australia,Mongolia,46,,,,
2011,Australia,Mozambique,5,,,,
2011,Australia,Mauritania,4,,,,
2011,Australia,Mauritius,,,,,
2011,Australia,Malaysia,49,,,,
2011,Australia,Niger,1,,,,
2011,Australia,Nigeria,106,,,,
2011,Australia,Netherlands,1,,,,
2011,Australia,Nepal,186,,,,
2011,Australia,"New Zealand",2,,,,
2011,Australia,Pakistan,1038,,,,
2011,Australia,Peru,6,,,,
2011,Australia,Philippines,19,,,,
2011,Australia,"Papua New Guinea",126,,,,
2011,Australia,Poland,1,,,,
2011,Australia,"Dem. People's Rep. of Korea",29,,,,
2011,Australia,Palestinian,165,,,,
2011,Australia,Romania,17,,,,
2011,Australia,"Russian Federation",103,,,,
2011,Australia,Rwanda,26,,,,
2011,Australia,"Saudi Arabia",26,,,,
2011,Australia,Sudan,49,,,,
2011,Australia,Senegal,4,,,,
2011,Australia,Singapore,,,,,
2011,Australia,"Solomon Islands",24,,,,
2011,Australia,"Sierra Leone",35,,,,
2011,Australia,"El Salvador",5,,,,
2011,Australia,Somalia,77,,,,
2011,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",87,,,,
2011,Australia,Slovakia,,,,,
2011,Australia,Sweden,1,,,,
2011,Australia,Seychelles,,,,,
2011,Australia,"Syrian Arab Rep.",84,,,,
2011,Australia,Chad,2,,,,
2011,Australia,Togo,3,,,,
2011,Australia,Thailand,15,,,,
2011,Australia,Tibetan,7,,,,
2011,Australia,Tajikistan,1,,,,
2011,Australia,Turkmenistan,2,,,,
2011,Australia,Timor-Leste,8,,,,
2011,Australia,Tonga,7,,,,
2011,Australia,Tunisia,12,,,,
2011,Australia,Turkey,267,,,,
2011,Australia,"United Rep. of Tanzania",11,,,,
2011,Australia,Uganda,42,,,,
2011,Australia,Ukraine,40,,,,
2011,Australia,"United States of America",8,,,,
2011,Australia,Uzbekistan,31,,,,
2011,Australia,"Venezuela (Bolivarian Republic of)",9,,,,
2011,Australia,"Viet Nam",58,,,,
2011,Australia,Vanuatu,1,,,,
2011,Australia,Samoa,1,,,,
2011,Australia,Stateless,849,,,,
2011,Australia,Various/Unknown,183,,,,
2011,Australia,Yemen,4,,,,
2011,Australia,"South Africa",31,,,,
2011,Australia,Zambia,5,,,,
2011,Australia,Zimbabwe,888,,,,
2012,Australia,Afghanistan,7192,,,,
2012,Australia,Angola,2,,,,
2012,Australia,Albania,58,,,,
2012,Australia,"United Arab Emirates",4,,,,
2012,Australia,Argentina,1,,,,
2012,Australia,Armenia,4,,,,
2012,Australia,Australia,3,,,,
2012,Australia,Austria,,,,,
2012,Australia,Azerbaijan,3,,,,
2012,Australia,Burundi,28,,,,
2012,Australia,Belgium,,,,,
2012,Australia,Benin,1,,,,
2012,Australia,Bangladesh,334,,,,
2012,Australia,Bulgaria,1,,,,
2012,Australia,Bahrain,74,,,,
2012,Australia,"Bosnia and Herzegovina",1,3,,,
2012,Australia,Belarus,6,,,,
2012,Australia,Brazil,6,,,,
2012,Australia,Bhutan,2,,,,
2012,Australia,Botswana,,,,,
2012,Australia,Canada,,,,,
2012,Australia,Chile,1,,,,
2012,Australia,China,2678,,,,
2012,Australia,"Côte d'Ivoire",6,,,,
2012,Australia,Cameroon,52,,,,
2012,Australia,"Dem. Rep. of the Congo",30,,,,
2012,Australia,Congo,16,,,,
2012,Australia,Colombia,118,,,,
2012,Australia,Cuba,4,,,,
2012,Australia,"Czech Rep.",1,,,,
2012,Australia,Germany,2,,,,
2012,Australia,Djibouti,2,,,,
2012,Australia,Denmark,2,,,,
2012,Australia,Algeria,11,,,,
2012,Australia,Ecuador,5,,,,
2012,Australia,Egypt,810,,,,
2012,Australia,Eritrea,96,,,,
2012,Australia,Spain,,,,,
2012,Australia,Estonia,,,,,
2012,Australia,Ethiopia,189,,,,
2012,Australia,Fiji,279,,,,
2012,Australia,France,4,,,,
2012,Australia,"United Kingdom",2,,,,
2012,Australia,Georgia,6,,,,
2012,Australia,Ghana,28,,,,
2012,Australia,Guinea,8,,,,
2012,Australia,Gambia,3,,,,
2012,Australia,Greece,2,,,,
2012,Australia,Guatemala,,,,,
2012,Australia,"China, Hong Kong SAR",,,,,
2012,Australia,Croatia,3,,,,
2012,Australia,Indonesia,233,,,,
2012,Australia,India,196,,,,
2012,Australia,Ireland,,,,,
2012,Australia,"Iran (Islamic Rep. of)",3949,,,,
2012,Australia,Iraq,2821,660,,,
2012,Australia,Israel,36,,,,
2012,Australia,Italy,2,,,,
2012,Australia,Jamaica,,,,,
2012,Australia,Jordan,77,,,,
2012,Australia,Japan,3,,,,
2012,Australia,Kazakhstan,7,,,,
2012,Australia,Kenya,55,,,,
2012,Australia,Kyrgyzstan,11,,,,
2012,Australia,Cambodia,23,,,,
2012,Australia,"Rep. of Korea",37,,,,
2012,Australia,Kuwait,39,,,,
2012,Australia,"Lao People's Dem. Rep.",3,,,,
2012,Australia,Lebanon,315,,,,
2012,Australia,Liberia,16,,,,
2012,Australia,Libya,127,,,,
2012,Australia,"Sri Lanka",2866,,,,
2012,Australia,Lithuania,,,,,
2012,Australia,Latvia,6,,,,
2012,Australia,"China, Macao SAR",,,,,
2012,Australia,Morocco,18,,,,
2012,Australia,"Rep. of Moldova",,,,,
2012,Australia,Maldives,4,,,,
2012,Australia,Mexico,2,,,,
2012,Australia,"The former Yugoslav Republic of Macedonia",,,,,
2012,Australia,Mali,2,,,,
2012,Australia,Malta,1,,,,
2012,Australia,Myanmar,534,,,,
2012,Australia,Mongolia,49,,,,
2012,Australia,Mozambique,5,,,,
2012,Australia,Mauritania,1,,,,
2012,Australia,Mauritius,1,,,,
2012,Australia,Malawi,,,,,
2012,Australia,Malaysia,69,,,,
2012,Australia,Namibia,,,,,
2012,Australia,Niger,1,,,,
2012,Australia,Nigeria,116,,,,
2012,Australia,Netherlands,1,,,,
2012,Australia,Nepal,196,,,,
2012,Australia,"New Zealand",3,,,,
2012,Australia,Pakistan,1957,,,,
2012,Australia,Peru,2,,,,
2012,Australia,Philippines,29,,,,
2012,Australia,"Papua New Guinea",172,,,,
2012,Australia,Poland,1,,,,
2012,Australia,"Dem. People's Rep. of Korea",29,,,,
2012,Australia,Portugal,,,,,
2012,Australia,Palestinian,179,,,,
2012,Australia,Romania,14,,,,
2012,Australia,"Russian Federation",83,,,,
2012,Australia,Rwanda,27,,,,
2012,Australia,"Saudi Arabia",37,,,,
2012,Australia,Sudan,49,,,,
2012,Australia,Senegal,5,,,,
2012,Australia,Singapore,,,,,
2012,Australia,"Solomon Islands",16,,,,
2012,Australia,"Sierra Leone",33,,,,
2012,Australia,"El Salvador",5,,,,
2012,Australia,Somalia,66,,,,
2012,Australia,"Serbia and Kosovo (S/RES/1244 (1999))",80,,,,
2012,Australia,Sweden,1,,,,
2012,Australia,"Syrian Arab Rep.",204,,,,
2012,Australia,Chad,2,,,,
2012,Australia,Togo,3,,,,
2012,Australia,Thailand,17,,,,
2012,Australia,Tajikistan,2,,,,
2012,Australia,Turkmenistan,2,,,,
2012,Australia,Timor-Leste,8,,,,
2012,Australia,Tonga,11,,,,
2012,Australia,Tunisia,10,,,,
2012,Australia,Turkey,311,,,,
2012,Australia,Tuvalu,,,,,
2012,Australia,"United Rep. of Tanzania",9,,,,
2012,Australia,Uganda,43,,,,
2012,Australia,Ukraine,26,,,,
2012,Australia,Uruguay,,,,,
2012,Australia,"United States of America",9,,,,
2012,Australia,Uzbekistan,30,,,,
2012,Australia,"Venezuela (Bolivarian Republic of)",9,,,,
2012,Australia,"Viet Nam",88,,,,
2012,Australia,Vanuatu,1,,,,
2012,Australia,Samoa,1,,,,
2012,Australia,Stateless,1433,,,,
2012,Australia,Various/Unknown,178,,,,
2012,Australia,Yemen,7,,,,
2012,Australia,"South Africa",32,,,,
2012,Australia,Zambia,6,,,,
2012,Australia,Zimbabwe,953,,,,
2013,Australia,Afghanistan,8368,,,,
2013,Australia,Angola,2,,,,
2013,Australia,Albania,66,,,,
2013,Australia,"United Arab Emirates",4,,,,
2013,Australia,Argentina,1,,,,
2013,Australia,Armenia,4,,,,
2013,Australia,Australia,,,,,
2013,Australia,Azerbaijan,2,,,,
2013,Australia,Burundi,26,,,,
2013,Australia,Belgium,,,,,
2013,Australia,Benin,1,,,,
2013,Australia,Bangladesh,343,,,,
2013,Australia,Bulgaria,1,,,,
2013,Australia,Bahrain,82,,,,
2013,Australia,"Bosnia and Herzegovina",1,1,,,
2013,Australia,Belarus,4,,,,
2013,Australia,Brazil,3,,,,
2013,Australia,Bhutan,2,,,,
2013,Australia,Botswana,1,,,,
2013,Australia,Canada,,,,,
2013,Australia,Chile,1,,,,
2013,Australia,China,2820,,,,
2013,Australia,"Côte d'Ivoire",6,,,,
2013,Australia,Cameroon,52,,,,
2013,Australia,"Dem. Rep. of the Congo",28,,,,
2013,Australia,Congo,16,,,,
2013,Australia,Colombia,124,,,,
2013,Australia,"Costa Rica",,,,,
2013,Australia,Cuba,3,,,,
2013,Australia,"Czech Rep.",1,,,,
2013,Australia,Germany,2,,,,
2013,Australia,Djibouti,2,,,,
2013,Australia,Denmark,2,,,,
2013,Australia,Algeria,10,,,,
2013,Australia,Ecuador,3,,,,
2013,Australia,Egypt,1132,,,,
2013,Australia,Eritrea,91,,,,
2013,Australia,"Western Sahara",,,,,
2013,Australia,Estonia,,,,,
2013,Australia,Ethiopia,191,,,,
2013,Australia,Fiji,324,,,,
2013,Australia,France,4,,,,
2013,Australia,"United Kingdom",4,,,,
2013,Australia,Georgia,9,,,,
2013,Australia,Ghana,34,,,,
2013,Australia,Guinea,6,,,,
2013,Australia,Gambia,3,,,,
2013,Australia,Greece,2,,,,
2013,Australia,Guatemala,,,,,
2013,Australia,"China, Hong Kong SAR",,,,,
2013,Australia,Croatia,3,,,,
2013,Australia,Indonesia,233,,,,
2013,Australia,India,265,,,,
2013,Australia,Ireland,,,,,
2013,Australia,"Iran (Islamic Rep. of)",4596,,,,
2013,Australia,Iraq,2963,345,,,
2013,Australia,Israel,36,,,,
2013,Australia,Italy,2,,,,
2013,Australia,Jamaica,,,,,
2013,Australia,Jordan,90,,,,
2013,Australia,Japan,5,,,,
2013,Australia,Kazakhstan,4,,,,
2013,Australia,Kenya,58,,,,
2013,Australia,Kyrgyzstan,8,,,,
2013,Australia,Cambodia,23,,,,
2013,Australia,Kiribati,,,,,
2013,Australia,"Rep. of Korea",42,,,,
2013,Australia,Kuwait,41,,,,
2013,Australia,"Lao People's Dem. Rep.",2,,,,
2013,Australia,Lebanon,346,,,,
2013,Australia,Liberia,23,,,,
2013,Australia,Libya,309,,,,
2013,Australia,"Sri Lanka",3313,,,,
2013,Australia,Lithuania,,,,,
2013,Australia,Latvia,6,,,,
2013,Australia,Morocco,18,,,,
2013,Australia,"Rep. of Moldova",,,,,
2013,Australia,Maldives,4,,,,
2013,Australia,Mexico,3,,,,
2013,Australia,"The former Yugoslav Republic of Macedonia",,,,,
2013,Australia,Mali,2,,,,
2013,Australia,Malta,1,,,,
2013,Australia,Myanmar,513,,,,
2013,Australia,Mongolia,50,,,,
2013,Australia,Mozambique,5,,,,
2013,Australia,Mauritius,1,,,,
2013,Australia,Malawi,,,,,
2013,Australia,Malaysia,86,,,,
2013,Australia,Niger,2,,,,
2013,Australia,Nigeria,132,,,,
2013,Australia,Netherlands,2,,,,
2013,Australia,Norway,,,,,
